"sup_name","sup_dist","sup_dist_name"
"Ahsha Safai",11,"SUPERVISORIAL DISTRICT 11"
"Shamann Walton",10,"SUPERVISORIAL DISTRICT 10"
"Hillary Ronen",9,"SUPERVISORIAL DISTRICT 9"
"Joel Engardio",4,"SUPERVISORIAL DISTRICT 4"
"Myrna Melgar",7,"SUPERVISORIAL DISTRICT 7"
"Rafael Mandelman",8,"SUPERVISORIAL DISTRICT 8"
"Matt Dorsey",6,"SUPERVISORIAL DISTRICT 6"
"Dean Preston",5,"SUPERVISORIAL DISTRICT 5"
"Connie Chan",1,"SUPERVISORIAL DISTRICT 1"
"Catherine Stefani",2,"SUPERVISORIAL DISTRICT 2"
"Aaron Peskin",3,"SUPERVISORIAL DISTRICT 3"
